Reference, Value, Footprint, Datasheet, digikey, additional_parts, digikey_alt, specs
"U25C1","0.1uF","Capacitors_SMD:C_0603","~","","","","X5R, X7R, 10V minimum"
"U3XC1","0.1uF","Capacitors_SMD:C_0603","~","","","","X5R, X7R, 10V minimum"
"U1C1","0.1uF","Capacitors_SMD:C_0603","~","","","","X5R, X7R, 10V minimum"
"U3C1","0.1uF","Capacitors_SMD:C_0603","~","","","","X5R, X7R, 10V minimum"
"U20C1","0.1uF","Capacitors_SMD:C_0603","~","","","","X5R, X7R, 10V minimum"
"U22C1","0.1uF","Capacitors_SMD:C_0603","~","","","","X5R, X7R, 10V minimum"
"U23C1","0.1uF","Capacitors_SMD:C_0603","~","","","","X5R, X7R, 10V minimum"
"U21C1","0.1uF","Capacitors_SMD:C_0603","~","","","","X5R, X7R, 10V minimum"
"U15C1","0.1uF","Capacitors_SMD:C_0603","~","","","","X5R, X7R, 10V minimum"
"U14C1","0.1uF","Capacitors_SMD:C_0603","~","","","","X5R, X7R, 10V minimum"
"U13C1","0.1uF","Capacitors_SMD:C_0603","~","","","","X5R, X7R, 10V minimum"
"U10C1","0.1uF","Capacitors_SMD:C_0603","~","","","","X5R, X7R, 10V minimum"
"U11C1","0.1uF","Capacitors_SMD:C_0603","~","","","","X5R, X7R, 10V minimum"
"U6C1","0.1uF","Capacitors_SMD:C_0603","~","","","","X5R, X7R, 10V minimum"
"U7C1","0.1uF","Capacitors_SMD:C_0603","~","","","","X5R, X7R, 10V minimum"
"U5C1","0.1uF","Capacitors_SMD:C_0603","~","","","","X5R, X7R, 10V minimum"
"UX1C1","0.1uF","Capacitors_SMD:C_0603","~","","","","X5R, X7R, 10V minimum"
"UX2C1","0.1uF","Capacitors_SMD:C_0603","~","","","","X5R, X7R, 10V minimum"
"R5","100K","Resistors_SMD:R_0603","~"
"U8C1","0.1uF","Capacitors_SMD:C_0603","~","","","","X5R, X7R, 10V minimum"
"U12C1","0.1uF","Capacitors_SMD:C_0603","~","","","","X5R, X7R, 10V minimum"
"TAn1","An","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small","~"
"TBn1","Bn","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small","~"
"TAc1","Ac","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small","~"
"TBc1","Bc","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small","~"
"TCLK1","CLK","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small","~"
"TUP1","UP","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small","~"
"TDN1","DOWN","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small","~"
"TAnXBc1","AnXBc","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small","~"
"TAcXBn1","AcXBn","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small","~"
"TRead1","read","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small","~"
"TLatch1","latch","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small","~"
"TPGND1","GND","Measurement_Points:Measurement_Point_Round-TH_Big","~"
"RIMP1","1K","Resistors_SMD:R_0603","~"
